ID,Tweet,MeaningCloud_Sentiment
123,The Sephora kids are real go in to grab a few things and it s a zoo of 10 12 year olds Don t think I m ever going back after that experience tbh good lord,P+
166,RT The Sephora Beauty Event is happening now gt gt lt lt SAVE 50 off Top Beauty Brands each,P
168,RT Homies with discoloration darkness on your pits ass and inner thighs glycolic acid is the hero that will save the day I,N
173,sephora sample sponges,NONE
174,I made an Ulta order on the 1st shit still not coming until tomorrow never again I will only shop in store cause Sephora would never,N+
175,i have sm stuff in my sephora cart,NONE
176,RT when I was a Sephora girl I cashed out on Lanc me MUFE etc etc but pls believe this face will be beat w this dru,NONE
178,Surprisingly after this they were both delivered now I ll just wait for the refund hopefully not too much longer Thanks,NEU
202,ima have to order the one size setting spray online cause every time I go to Sephora they re sold out,NONE
205,I really wish Sephora stop having sales,P
211,RT Kohl s will begin bringing Babies R Us shop in shops to its stores in August The struggling department store is increasin,P
222,As children and young teenagers increasingly adopt the glamorous skin care routines of social media influencers in the so called Sephora kids trend dermatologists are raising red flags about the potential harm,N+
224,can wait to go to the mall and get everything I want at Sephora,NONE
233,Sephora is the brand of black amp white minstrels and Lady Gaga s shill for men s fetish rights Avoid,N
234,Sephora the brand of black and white minstrels and plugging men s fetish rights on IWD,P
236,katherine It s just marketing Boycott Sephora,NONE
238,THIS especially with how 9 12 year olds are trying to dress like late teens young adults like Don t get mad at us that the Sephora kids are shopping in junior sections instead of kids sections now,N
239,RT 25 Sephora France omg beautiful,P
241,I just want to go to Target IKEA and Sephora And I ll be in the best mood That s all,P+
247,I just wanna go to Sephora amp shopping for the boys,NONE
250,The market for baby products is huge Considering the success of its past partnership with Sephora this move is a step closer to establish Khol s as a go to brand for families,P
253,RT Sephora France omgg i love this can t wait to be in Paris,P+
256,getting my sephora package delivered before my exam made me feel 10x better,P
262,RT PhD Hybrid Lip Glaze by the numbers Our expert team of product developers spent countless hours formulating our innovation,P
263,RT When you lose an hour from DaylightSavings but still have time for WaysToGlaze Burn free plumping PhD Hybrid Lip Glaze,NEU
271,Tweens are psyched about skincare But their approach is concerning WrinkleTreatment Medical Psoriasis Rosacea SkinCare Video Scores of recent TikTok and Instagram videos have documented the so called tween invasion of Sephora and Ulta,N+
272,RT Move over fidget spinners and slime there s a new hobby that has some of societies youngest consumers Obsessed skincare,N
274,Def gotta go to Sephora tm,NONE
275,the Sephora girls are worse idk what to tell you,N
280,RT Am I the only one waiting for Soft Glam to come to sephora so I can swatch it,NONE
284,You have to get the extra strength one Only sold at Sephora,P
290,RT Take me to Sephora,NONE
291,Eid is so soon but im gonna spend half of my money on sephora how am i gonna get BOOTHILL AND ROBIN,NONE
304,RT Ombudsman amp each of these experiences u wasted my time AND STILL U ARENT INC,N
306,Ombudsman amp each of these experiences u wasted my time AND STILL U ARENT INCLUSIVE YOU STILL HAVE NO ROOM FOR A WALKER TO GET THROUGH YOUR AISLES AND CASH WRAPS,P
307,RT Ombudsman as previously stated I will take my apology in the form if,P
308,Ombudsman as previously stated I will take my apology in the form if credit for each of horrible client experiences from your company online in store in multiple stores You were wrong in all of these instances im owed compensation for each of these times you were wrong,N
321,if sephora loves me they ll put the danessa myricks water powder serum on sale in april as well,P+
322,i missed the nars pot concealer being 50 off on the ulta sale but trust i ll be getting it when sephora does their sale in april,N
328,Absolutely Can t wait to explore these must have neutral shades at Ulta Beauty and Sephora,N
332,after my lash appointment tomorrow i think ima just treat my self to some sephora i had a long week already,NONE
345,RT I have a virtual shopping cart for Sephora and Ikea ready to go if anybody wants to make my day I would truly appreciat,P
358,FYI You Can Use FSA Or HSA Money At Sephora Here Are 15 Of The Best Things To Buy,NONE
359,hen Yeah you have a point there At least I could go straight to Sephora and get a refund,NONE
374,Thank you for your commitment to women all around the world It is an honor to serve on your advisory board,P
376,RT My Brow Harmony Shape amp Fill Duo is officially here Y all know I love a good full brow so I wanted to make,P+
380,the sephora was convenient when i used to live in fidi they need better stores in there though thats it,P
381,RT Well this is a real eye opener by is dropping the new Perfect Strokes Universal Volumizing Mascara,NEU
382,People saying Ulta vs Sephora employees I ve had good amp bad at Ulta but Sephora I can t think of a bad Ulta I got 2 lipsticks there was a free gift but the girl couldn t find it in the back so I got a full sized makeup palette for free amp they were so nice about it So its 50 50,NEU
388,Ombudsman sephora has given me 3 horrible client experiences in a row amp not taking accountability to provide credits for EACH of these times your apology needs to be as loud as your disrespect was I will take your apology in the form of a credit to my account for minimum 400,N
397,idk what i need but target and sephora is calling my name,NONE
399,If you didn t order it from Sephora that s going to be a pain in the a to get a refund I don t like ordering things like that directly from the source Otherwise I would have tried to convince her to use Et e Lauder Which is a phenomenal foundation,NEU
402,My Sephora cart is 329 this go round and I m not coming off shit so I guess 329 it is,P+
403,I walked into Sephora today and none of the employees greeted me or asked if I needed help I made a u turn and went straight to Ulta,NEU
409,LMAOAOAOA this why I don t shop at Sephora,NONE
413,is it a thing for the Sephora employee to try on the makeup on themselves for you to see,NONE
415,ygs weren t kidding abt sephora ten year olds wtf one of them was staring at me and my friends too worst experience,N
418,I ve had that Sephora brush set for years It s my favorite by far All of these products are great you did good,P+
420,oh damn ok maybe i should try this sephora thing,N+
422,RT Guru Yes Kohls helps Sephora go into places it can t easily get into remember JC Penney But with sales profile at a time of,P
423,RT Guru Says volumes about prospects of Kohls amp department stores in general that KSS best comparable store sales in 14 years a,P+
424,Perfume samples from Sephora gt gt,NONE
425,sephora hausofgaga I m inclusive of my daughter s and my nieces safety I will never shop at sephora again Regretting the 500 I spent in Dec on gifts,P
426,18 Sephora Sweet thing,NONE
439,i use fade good molecules discoloration serum brightening soap amp this vitamin c serum at sephora called green machine,P
441,not purchasing anything from them before they denounce sponsoring TrishaPaytas 0 tolerance for racism anti Blackness anti Semitism and transphobia,P
442,All I wanted was to try the glazed donut highlighter but noooo the website has to keep glitching so I can t buy it on sale Guess I ll just shop at,NONE
450,it s confusing as heck if u have an ulta or sephora might be good to ask there they may know more i just use moisturizers with spf and like primer,P
452,sephora is definitely a Rockstar of Metalwork Just look at that tight little blacksmithing area and silhouette miller 250 Bang bang,NONE
453,This is why Sephora should sell Dominatrix bull whips so shop managers can give free samples Store owners should be able to keep all shoplifters they can catch,N
455,SEPHORA FAVORITES Holy Grail Skincare set 2018 HGZNQGK,P
458,RT Selena Gomez talks about what she sees when she looks in the mirror via Sephora Italy I see someone who has survived,P
460,Sephora Hype is real iykyk I wasn t familiar with your game,NONE
462,RT i just need a shopping spree Sephora and Lululemon needs to see me asap,NONE
465,need a trip to Sephora,N
466,Absolutely I don t really care what they think and fine I ll go to Sephora and treat myself When life hands you 200 and tells you you re ugly reply And you seem like kind of an arse but thanks for the tip and have fun,P
467,Depressed Bought perfume at Sephora Maybe smelling good will help me,P
472,RT I think that s a stupid rule and it makes people uncomfortable Ex Sephora worker says they were forced to follow custome,N
477,RT Out of 186 shops at the Westfield Mall there are 75 closed shops Guess Finishline and Sephora were added to the closu,N
478,Went to four Sephora s trying to find this shit and when I got the extra strength one it fuckin sucked so bad,N
480,RT Moshe Why do you have a Paid Partnerships with a racist white woman Trisha Paytas,N+
493,Not ordering from Sephora until sale time,NONE
494,anyways next time i visit sephora best believe im using my gift card to purchase haus labs blush,P+
495,I got my makeup amp my new curling irons shoutout to the girlies at Sephora,P
498,RT Sephora 1 not accommodating to those who have walkers 2 not being accountable on their word saying can use the credi,N
499,RT Sephora 3 not having the in store pick up amp saying to go in regular line when already paid for my items 3 different,NONE
500,RT Ombudsman You guys messed up 3 different occasions and then saying u owe me n,N
502,Ombudsman You guys messed up 3 different occasions and then saying u owe me nothing further Nope u owe me credit for 2nd amp 3rd amp 4th bad client experience from you your company Sephora Ombudsman mandate to be inclusive isnt followed here 2b accountable amp not lie to clients,N
505,RT Ombudsman Sephora trying to claim my 3 different bad experiences from their i,N
506,RT you should be accommodating especially when someone has a walker Your employee is uneducated about your com,N
509,Sephora To Become A Part Of St Marys Kohl s,NONE
513,Ombudsman Sephora trying to claim my 3 different bad experiences from their in store and online representatives as one experience so they can get out of the credit im owed Ombudsman you should take a look into this how customers are treated badly amp when owe a credit they remain silent,N
516,my sephora is fully loaded waiting for the rouge sale,NONE
522,Sephora must ve threw my bronzer against the wall before packaging it,N
523,More like living poop based on who you sponsor,P
526,RT field trip to Sephora so we can see what the drummer from 5sos smells like,P
528,sephora skincare is so fucking good it s like knock off drunk elephant,P
529,Immediately returned my foundation back to Sephora I don t support women who support men moving into women s spaces,P
531,Returned her makeup to Sephora today I don t support women that support men taking over women s spaces,P
532,Sephora is adding three small format locations to Kohl s locations in the QC area Sephora at Kohl s is coming to Clinton West Burlington and Sterling,NONE
536,I m trying so hard to not buy anything from Sephora before the Sephora Savings Event,NONE
537,Every Sephora trip 200,NONE
539,Things I will buy from Sephora tonight Make up by Mario dual ended foundation brush and Amuse dewy tint,P
545,SEPHORA finally got back to me I will be adding them back to the E GIFT CARD LIST soon,P
546,Ulta and Sephora sale sucks today I can t have shit,N+
550,A Sephora or Ulta gift card will always make me feel better,P
551,that s fair enough and I know a bunch of gen z who are the sweetest people I ve seen some videos of gen alpha girls at sephora and they look like the type of people who would be rude to people for no reason,P
552,Sephora Favorites JCPenney Holy Grail Beauty 2020 75BDLUU,P
557,minis aisle in sephora you weaken me so,NONE
560,to whoever keeps telling the sephora website that i am in muskego wisconsin i am not this is naperville illinois,NONE
562,I need to build my Sephora cart,P
565,Sephora is always hot n the lines r ridiculous,N
566,sephora has all mtf models up now,NONE
567,RT lady I m the one on the left That angel on the left of me did my make up no filters on and isn t she a beauty Done,P
573,Imagine that But millions are out in the sun everyday enjoying especially now at spring break Meanwhile you re in Sephora doing smash and grabs,NEU
575,belle Sephora Barbie I m shook,N
580,Wat the actual fuck is going on w Sephora s prices now disGUSTING,N+
585,a few makeup lessons are probably the best investment you can make also if you get sephora s makeup services you can get them to try a different routine products on you to see how they ll work,P+
586,RT Kohl s likes to engage in what I call magpie retailing stealing other concepts and brands rather than developing your o,P
593,Sephora Areolas are nice and big,P+
596,went to sephora ulta today both stores had what i wanted today was a good day,P
602,It s bad for the environment and it s bad for us all those chemical ingredients Even the good shit at Sephora sucks,N+
622,Hey hey hey sephora girlies SoldeJaneiro specialists Are the sol de Janeiro deodorants good,P
632,Went to Sephora for the first time Saturday Idk what I was thinking but I was wrong lol,N
644,RT I can feel the dissociative psychosis enter my body as soon as I walk into an ulta or sephora,NONE
656,working at sephora fun asl all i do is think about what ima buy next,P
659,didn t have the moisturizer I wanted so I went to look at the Sephora collection and immediately found a typo Kown to hydrate skin I m not making this up am I,NONE
660,dude sephora glosses r so good this is my third one,P
668,Sephora count your fucking days my order was delivered in fucking Arizona and I live in Texas how the fuck does that happen,N+
669,THEEEE BEST That s my OG It s proven me wrong every time I wanna buy something outside this lol,P
671,lisxmonique I still have my skin tint lol it s gonna have to hold down the fort in the makeup dept skincare I order from a brand not sold at Sephora anyway,N
676,We in the same boat but I m tryna hold out for the Sephora sale in a couple weeks,N
677,Girl Sephora for a whole tab of HSA eligible products,P
678,SEPHORA IS COMING TO MANCHESTER,NONE
680,Wish i was at Sephora right now,P
686,Sephora France did things in a big way omg I wish I could go there so much,P
687,sephora didn t have the summer fridays balm I was looking for so I got the laneige gummy bear balm amp I love it,P+
691,I love seeing young kids taking an interest in skin care and self care at such a young age It s great to see Sephora helping to promote healthy habits and confidence in young girls and boys Keep shining and taking care of yourselves little ones,P+
692,Sephora kids Tweens obsession with prestige skin care raises alarm bells National,P
695,Why does the shade finder never find a shade for me,P
696,I dropped like 200 at Sephora the other day,N
697,RT Sephora At Kohls x DealOfTheDay Score BIG SAVINGS on Select Beauty Products ad Don t Miss,P+
702,patiently waiting for eid only so that i can empty out my sephora cart,P
703,Do better One cashier 25 customers in line,P
709,but when people did understand me they were SO SWEET esp the one girl in sephora who asked me about london slang,P
710,RT Sephora announced the withdrawal from the Korean market kbeauty,NONE
713,I wanna get samples but im literally scared of sephora,N
714,Sephora the world s leading beauty retailer is expected to post sales of 14 4 billion 15 6 billion and EBITDA of 1 4 billion 1 5 billion in 2023 news trends beauty,P
723,I kinda wanna get some SimiHaze Beauty makeup for WrestleMania week because they are Palestinian owned available at Sephora But a lot of their makeup products are confusing Not sure if I could pull them off,NEU
726,RT Literally only went to to see my favorite on display,P
727,RT sooooo I bought a travel sized Versace perfume and I m OBSESSED I smell like a dark feminine alluring goddess and t,NEU
730,RT it s one thing to tell her she s pretty but it s another thing to send her 300 amp a big fat sephora gif,NONE
731,trying not to spend money but ulta has sales and the sephora sale is coming up,NONE
733,RT needed a restock on some kerastase official and look who I found at sephora Sydney Sweeney via instagram,NONE
739,Just found out that a Disney pass is the same monthly payment as my Sephora credit card and I m almost done paying off my Sephora card,NONE
745,Exciting times ahead in the retail world Discover how SEPHORA Universe is leading the charge into the metaverse revolutionizing beauty retailing as we know it yalloretail BeautyInnovation MetaverseRevolution FutureOfRetail PersonalizedShopping CommunityEngagement,P+
755,Contour Highlight Conceal matureskin,NONE
761,Got a new face mask I want one of my good boys to pay for it 60 Findom sephora,P
763,I need lip plumping gloss recommendations Something that makes my lips feel like they re going to fall off I don t feel the burn at ALL I ve tried makeup revolution Sephora Dior and Too Faced,P
769,I think it s because I went into a Sephora once to buy a gift for someone when I was like I dunno 20 or something long before I knew I was a girl anyway and that was 100 the vibe I got Good to know times do be a changin,P
772,i got a sample of youth the people from sephora and girl i m a big fan but jfc why does it cost that much,P
773,Hmm for some reason Sephora summons up images of cis girls who ve never dealt with trans people in their lives being told by corporate masters they need to do this for money but that s pretty different,P
774,i just unlocked the cheat code sephora ulta nordstrom saks nike west elm american eagle etc etc oh this is tooooo good,P
777,i wouldn t worry about that i walked into sephora and was immediately greeted by this big nonbinary guy with he they on their nametag and i got the nicest without being even a little bit overbearing transfem artist doing my makeup too i can t stress enough how great it was,N
778,Have you seen these new sephora ads They re everywhere And here they are properly presented by Easy Banner Frames Perfect for retail and outdoor banner displays Sizes made to order Check them out retail bannner BillboardNews,P
779,Sephora X Saddle open a Ramadan pop up in Dubai Check out the beauty products henna sessions and makeovers,P
781,I think it looks like it belongs in Sephora But would this stop you from buying it in the perspective of a dude if the caps were gold,NONE
782,Translation for Western audiences all women look amazing but these gals were very unique Still they don t buy their makeup at Sephora so stop with your weird fantasies about women who live outside the West who usually don t cake their face w 50kgs of concealer foundation,P
784,I was looking at a Sephora perfume the other day and one of the one star reviews said it genocided my skin unironically At this point that word means nothing,P
788,thinking about the 10ish year old girl i saw at sephora getting anti aging skincare and she still has a baby face help MEEEEE,P
794,the other day i went into sephora and got a full face makeup lesson of sorts they ll do those for individual features show you how stuff is used and tell you what the products are might be very worth it if you re looking for help with eyes specifically,P
798,you can actually order from Sephora on doordash,NONE
804,Ive been to ulta target and Sephora 5 times since,NONE
806,She s probably having the time of her life in all these american shops probably raided forever 21 sephora and urban outfitters already,N+
807,Sugar cane on the Sephora shelf Could a Louisiana crop become a clean beauty darling,P
809,we did in fact get the wrong shade BUT we went to sephora for a shade match we are so back boys,N
811,Does Sephora not have influencers Where the codes at,NONE
812,sephora employee informed me i was vib today and there is a 15 off special soon i m so sick,N
815,investing my savings into assets with higher growth rates Sephora,P
817,See Sephora would never I hate they be following you in the store Like i don t need to steal,N
818,I worked at Sephora for 11 years Here are my absolute favorite beauty products of all time,P+
820,RT As the tween Sephora kid epidemic makes headlines parenting or the lack of it has become a larger cultural discourse,N+
821,Me when I m an ex gen x influencer and I m 19 years old and have incurable chronic acne and early onset wrinkles because my skincare was Sephora and not water,N
835,Bih ain t no more Sephora Ulta Shein or Home Goods hauls in this economy,N
836,Makeup is so expensive How much money they making I just got out Sephora and paid 200 for barely 7 things and it was packed as hell I gotta learn makeup,NEU
842,convinced westfield in White City is a social experiment it s too hot too bright it s a nightmare i only went to sephora to finally find a foundation colour that matched me instead of guessing online and i was literally sweating and almost crying,N
843,swift I didn t even read it on tik tok I read it on a news site with Sephora reviews being stated,NONE
848,need someone to empty my sephora cart ill literally do anything ugh,N
849,a trip to ulta amp sephora would cure me,P
852,They need to get smarter I would ve ripped right through it if it was from Sephora or something,P
854,I think your assessment is correct considering the children are rampaging Sephora,P
855,yes its 14 but i got it free for spending 25 in sephora for some reason LOL,P
856,my whole friend group is made up of sephora and stanley girls but its chill,P
857,okayyyyy ive never tried milk makeup i might have to pop into sephora,NONE
859,Sephora cats are better than Sephora kids any day of the week fuck them kids,N
861,RT Can Sephora just start the sale tomorrow like,P
869,My manager thought of me at her event on the weekend and brought me back some Sephora goods So thoughtful,P
870,Thread Another L for Jennifer Lopez JLo Beauty being pulled from Sephora stores 03 18 24 CREDIT ALL,NONE
871,Disappointed with s service Struggling with a pickup order amp faced hurdles trying to resolve it Uncomfortable sharing personal info just for a simple fix that other companies handle easily Poor response only offered a return Expected better CustomerServiceFail,N
872,sephora needs an award for their one day shipping,P+
880,I got my Sephora birthday gift today and it was a Youth To The People skin care set A nice sized cleanser moisturizer and mask I was shocked came home and used it immediately and my face feels amazing,P
889,No but what do YOU get at Sephora Drop the skincare routine,NONE
890,exactly How am I a foam STAR if I m wearing the same 4 things as everyone else I can t trendset like this Carries as much weight as being a Sephora Beauty Insider or a Maxxinista This man is more stylish and inspiring than their whole roster,P+
891,This pink lemonade vape low key tastes how Sephora smells,NONE
893,Ye la tu Welp time to go to Sephora with a mask and no makeup on Kebetulan I got 2 shades darker than my original shade lately,P
898,you re either an ulta girl or a sephora girl but you re never both,NONE
901,Yeah I was wearing tinted moisturizer before but it doesn t feel heavy at all and you need very little product to get decent coverage Sephora let s you sample it,N
903,Preparing my court for the Sephora sale,NONE
904,I need support help I get an error every time I try to submit my Sephora review prevening me from completing the task I ve sent a support ticket 4 times over the last 2 3 weeks now amp haven t gotten a response at all I have 7 days left to complete this task,P
906,Instacart does Sephora I use to go there all the time for one thing,NONE
907,How is NEWCASTLE getting a Sephora before Birmingham,NONE
915,RT sephora employees act like God left them in charge,NONE
920,If they can add Sephora then yes they need to get on top of this,P
921,Try Sephora s Ultra Bucket of Makeup,NONE
923,RT Why the fuck is Sephora amp Ulta doing their 50 off sales at the same time take my money,N+
924,going to sephora next,NONE
932,In bed relaxing with my Pomegranate eye masks from Sephora,P
933,Haus labs ventured HARD on Amazon The Sephora rebrand sanitized the eccentricity and turned out to be the most boring debut with the same neutral products as every other brand leaving very little to the imagination Universal Sure Groundbreaking No absolutely not,N
934,I haven t hit Sephora in ages Now I am getting the itch,NONE
937,u can get little sample or travel size high end perfume from sephora for like 12 30 probably on other fragrance sites too that way ur not stuck with a huge full bottle of smth you ll barely wear,NEU
941,Sephora Yummy,P
954,Sephora s North America CEO escaped a violent revolution and grew up in foster care She s now one of the most powerful women in beauty,P
956,Where s all the Sephora amp Ulta boosters at I need some shit,N+
957,Idk Sephora might have won me over,P
961,i have yet to buy that liquid blush from sephora,NONE
964,Popeyes and Sephora opening near my house God heard my cries,N
969,RT Finally my sub funded Sephora shopping got delivered Goddess will have loads of fun with the free samples too Fi,P
970,So pretty,NONE
976,I actually hate when the employees in Ulta amp Sephora try to color match you because it be wrong every time,N
979,Burberry her or good girl from Sephora,P
980,My company is like Bath n body works Claire s amp Sephora all rolled into one,NONE
984,No I do not regret the 200 I spent in Sephora and never will,P
992,I m gonna make the twins a Sephora ulta easter egg lol wit them big ass clear Easter eggs,N
1000,The devil is real He lives in my Sephora cart,N+
1001,oh girl you better steal you some spoolies from Sephora,N+
1004,Buy 4 things from Sephora or Ulta you paying damn near 200 that s krazy,N+
1012,just fucked up a shopping spree at sephora i bought 3 things,N+
1014,AND SEPHORA CLOSED BRA IM IRRITATED,N
1015,RosieO see i wanted to try that one but we bought some black girl sunscreen not too long ago so we gonna just run with that i wish i had known they were gonna do this shit tho some stuff i JUST bought from sephora like last weekend,P
1017,what do yall get from sephora for the soft glams,NONE
1020,Spending 300 at Sephora because my tummy hurt,N
1026,why is entering sephora so awkward,N
1029,I have a problem with the Saudi Sephora application It appears to me that some products are not available for home delivery and when I delete them from the cart only2options appear to me pick up from the store or express delivery which is intended for specific cities,N
1036,I put all the expensive products from sephora in my basket to satisfy myself and then choose only 3 things,P+
1042,RT swipe for a magic trick melt tf awf this new jelly oil cleanser boutta make you weep MELTAWF available now,N
1044,Just watched Uche Natori s Make up School whole playlist while picking the needed products at Sephora,NONE
1047,I m so ready for the Sephora sale,P
1052,Me when I get a job The first thing I m doing is going to Sephora,NONE
1053,I would have taken that scarf to Sephora and have them tell me what smells like it if i really wanted to know hhhhhh,P
1056,I take my daughter there And to Sephora And we usually end up looking around separately,NONE
1058,Don t settle for Sephora,NONE
1067,yes i look different when i put makeup on i almost the whole routine from sephora,NONE
1069,I should ve went to Sephora when my mamma tried taking me,N
1071,sent tre the new valentino perfume the other day because i seen it on twitter he responded that we can go and smell it we haven t gone to the mall yet today he walked in with a sephora bag,NONE
1076,I been needing to go to Sephora for a month but I hate driving into Atlanta mane,N
1077,sephora employee asked me to sign up for their rewards to get a bunch of gifts and i told her i already have one and she said make another one YALL,P
1082,Shamelessly placed a 700 sephora order to polish up my makeup kit knowing that i can claim it as a business expense for taxes,N
1092,Don t sleep on the half off beauty deals from Sephora and Ulta because those end at midnight tonight,P
1093,Just that most of the girls at Nykaa sephora in malls are muslims and this is what i read on Google GujaratUniversity Hindu HinduRashtra Hindus,NONE
1094,RT One time when I was young I went to Sephora with a friend and she asked for red eyeliner and the lady said oh we usually,P
1099,Dr Idriss Skincare Has Finally Launched at Sephora Marie Claire,P
1101,Compiling my summer Sephora list,NONE
1102,Oh for sure Have you tried the Nest fragrances from Sephora I layer it with the niche but they smell so good,P
1103,why I want to apply to Sephora just for the discounts,NONE
1109,smelled the most delectable perfume today someone send me 50 or a sephora gift card to buy the travel size of it for vacation lt 3,P+
1110,JLO Beauty is being pulled out of Sephora because the products have been collecting dust on the shelves This shouldn t come as a surprise unless to Miss from the Block Search volume for the brand is low compared to other celebrity skincare,N
1114,I can t describe it but if you have a chance and you re ever in macys or Sephora ask for a sample I promise you will think about it everyday,NONE
1119,RT IS NOW AT Now available at select s at I am so grateful you my loves This co,P
1121,Went to Sephora and spent a pretty penny,P
1122,Why tf ulta amp Sephora start locking up the perfume,P
1123,From foster care to beauty titan Meet the next CEO of Sephora North America,P
1128,It s between Ulta amp Sephora or the gym today and honestly the makeup store is winning The gym always win I think I might just gon head treat myself,P
1132,Does anyone else s Sephora still not shade match you to the correct foundation or is it just me I remember going to Sephora years ago and this girl matched me with the same foundation as my best friend and she s 10 shades lighter than me and still tried to sell us the foundation,P
1136,pruitt78 Gaines Saw the same 30 minutes ago Every time we go into Sephora may daughter whispers mom don t stare They want me to It s the entire purpose And to desensitize kids to men dressed as women,NONE
1148,I need a Sephora run my lip liner is down to the bone,NONE
1159,RT New Sephora to enhance Chilliwack retail experience say mall officials,P
1160,craving a trip to sephora,NONE
1163,Lil Sephora run gon always make me feel better,P
1165,I knew Ulta was having a sale they been taking my money all month long but nobody told me nothing about Sephora too Wtf,P
1166,Dammit whys Sephora have all this makeup,N+
1171,I need to go to Sephora amp get color matched and an under eye cream,NONE
1180,Honestly it s very dangerous for my pedi place to be next door to target Sephora and petsmart Especially after 3 glasses of champ,N+
1181,My Sephora cart is 500,NONE
1194,Sephora or Ulta Tropicals Faded cream It s black Owned too,NONE
1204,Ladies idk if the Sephora micro smooth powders are really being discontinued but they are 50 off today 10,P
1206,m I didn t like the ones I smelled at Sephora And I completely agree the perfume angle is soooo boring Or at least she should have done it earlier Now it looks like she s copying Beyonce fumi monet etc,P
1207,The Sephora sale needs to happen already cause I m running out of everythinggg,N
1218,I know Sephora better restock that Anastasia tinted lipgloss,P
1229,That s why I cussed out Sephora cause they wanted to close my account cause I didn t use it enough the lady on the phone like I m not sure why the attitude I said because I used my card responsibly and u messin up my credit by closing my account like a dumb bitch,N
1230,Yup I learnt my lesson with store credit cards Sephora sent me they re closing my account because I was inactive to long in other words I wasn t burning the credit card out enough to their liking to make them money like bitch I m not bout to keep spending 500 on makeup,N
1233,DajaCain I just smelled it at Sephora I like it when you first spray it but not once it settles,NEU
1239,I need a quick 1k just so I can freely go into Sephora and get all of the products I ve been wanting to try out,P
1240,I need all the free stuff for my bday starting with ulta amp sephora,P
1256,I hv a confession I went to Sephora again yesterday and I m mad yall ain t tell me bout Fenty Skin earlier,NONE
